Date,DJI,Gold,USD/JPY,,,,,
2011/1/3,11670.75,1422.60,81.12,,,,,
2011/1/4,11691.18,1378.50,81.67,,,,,
2011/1/5,11722.89,1373.40,82.04,,,,,
2011/1/6,11697.31,1371.40,83.19,,,,,
2011/1/7,11674.76,1368.50,83.30,,,,,
2011/1/10,11637.45,1373.70,83.03,,,,,
2011/1/11,11671.88,1384.00,82.71,,,,,
2011/1/12,11755.44,1385.70,83.34,,,,,
2011/1/13,11731.90,1386.90,83.07,,,,,
2011/1/14,11787.38,1360.40,82.76,,,,,
2011/1/18,11837.93,1368.10,82.67,,,,,
2011/1/19,11825.29,1370.20,82.61,,,,,
2011/1/20,11822.80,1346.50,82.15,,,,,
2011/1/21,11871.84,1341.00,82.92,,,,,
2011/1/24,11980.52,1344.50,82.59,,,,,
2011/1/25,11977.19,1332.30,82.54,,,,,
2011/1/26,11985.44,1333.00,82.26,,,,,
2011/1/27,11989.83,1318.40,82.16,,,,,
2011/1/28,11823.70,1340.70,82.89,,,,,
2011/1/31,11891.93,1333.80,82.09,,,,,
2011/2/1,12040.16,1339.60,82.07,,,,,
2011/2/2,12041.97,1331.50,81.39,,,,,
2011/2/3,12062.26,1352.30,81.49,,,,,
2011/2/4,12092.15,1348.30,81.65,,,,,
2011/2/7,12161.63,1347.60,82.22,,,,,
2011/2/8,12233.15,1363.40,82.29,,,,,
2011/2/9,12239.89,1364.80,82.30,,,,,
2011/2/10,12229.29,1361.90,82.42,,,,,
2011/2/11,12273.26,1359.90,83.34,,,,,
2011/2/14,12268.19,1364.60,83.44,,,,,
2011/2/15,12226.64,1373.60,83.41,,,,,
2011/2/16,12288.17,1374.70,83.72,,,,,
2011/2/17,12318.14,1384.70,83.61,,,,,
2011/2/18,12391.25,1388.20,83.29,,,,,
2011/2/22,12212.79,1400.50,83.07,,,,,
2011/2/23,12105.78,1413.40,82.76,,,,,
2011/2/24,12068.50,1415.30,82.44,,,,,
2011/2/25,12130.45,1408.70,82.05,,,,,
2011/2/28,12226.34,1409.30,81.62,,,,,
2011/3/1,12058.02,1430.70,81.87,,,,,
2011/3/2,12066.80,1437.20,81.90,,,,,
2011/3/3,12258.20,1416.00,81.83,,,,,
2011/3/4,12169.88,1428.20,82.37,,,,,
2011/3/7,12090.03,1434.10,82.34,,,,,
2011/3/8,12214.38,1426.90,82.29,,,,,
