Date,rBH,rM_ex,rSmB,rHmL,rf
2009-01-30,-0.07347826086956522,-0.0812,7.000000000000001e-4,-0.11289999999999999,0
2009-02-27,-0.12180733391432597,-0.10099999999999999,5e-4,-0.0695,1e-4
2009-03-31,0.10305343511450382,0.0895,3e-4,0.0347,2e-4
2009-04-30,0.08419838523644763,0.1018,0.054000000000000006,0.0536,1e-4
2009-05-29,-0.025531914893617058,0.0521,-0.0252,0.0028000000000000004,0
2009-06-30,-0.017467248908296984,0.0043,0.0263,-0.0273,1e-4
2009-07-31,0.07777777777777772,0.07719999999999999,0.0187,0.0483,1e-4
2009-08-31,0.03969072164948462,0.0333,-0.0108,0.07629999999999999,1e-4
2009-09-30,0.0014873574615765772,0.0408,0.024300000000000002,0.0105,1e-4
2009-10-30,-0.01980198019801982,-0.0259,-0.0435,-0.0421,0
2009-11-30,0.016161616161616266,0.0556,-0.024,-0.0034000000000000002,0
2009-12-31,-0.013916500994035741,0.0275,0.0605,-0.0017000000000000001,1e-4
2010-01-29,0.155241935483871,-0.0336,0.004,0.0043,0
2010-02-26,0.04537521815008727,0.034,0.011899999999999999,0.0323,0
2010-03-31,0.016694490818029983,0.06309999999999999,0.0148,0.022099999999999998,1e-4
2010-04-30,-0.053160919540229834,0.02,0.0487,0.028900000000000002,1e-4
2010-05-28,-0.08163884673748101,-0.0789,9e-4,-0.024399999999999998,1e-4
2010-06-30,0.1330374846567841,-0.0557,-0.0182,-0.047,1e-4
2010-07-30,-0.025000000000000022,0.0693,0.002,-0.0031,1e-4
2010-08-31,0.014316239316239265,-0.04769999999999999,-0.03,-0.019,1e-4
2010-09-30,0.049083631767432134,0.09539999999999998,0.039599999999999996,-0.0316,1e-4
2010-10-29,-0.0417670682730924,0.0388,0.011399999999999999,-0.024300000000000002,1e-4
2010-11-30,0.007544006705783701,0.006,0.0377,-0.0096,1e-4
2010-12-31,0.002079866888519133,0.0682,0.0073,0.037000000000000005,1e-4
2011-01-31,0.016396845163968443,0.0199,-0.025,0.0083,1e-4
2011-02-28,0.07249336328364309,0.0349,0.015300000000000001,0.0127,1e-4
2011-03-31,-0.045696877380045686,0.0046,0.0254,-0.0183,1e-4
2011-04-29,-0.004389465283320071,0.028999999999999998,-0.0038,-0.024300000000000002,0
2011-05-31,-0.04789579158316637,-0.0127,-0.0059,-0.0212,0
2011-06-30,-0.02247947800463057,-0.0175,-0.0012,-0.0042,0
2011-07-29,-0.039662374574738424,-0.0235,-0.0126,-0.009000000000000001,0
2011-08-31,-0.015524663677130013,-0.0599,-0.0305,-0.0236,1e-4
2011-09-30,-0.027047709280397902,-0.0759,-0.0331,-0.0172,0
2011-10-31,0.09503745318352053,0.11349999999999999,0.032799999999999996,0.001,0
2011-11-30,0.013253527148354038,-0.0028000000000000004,-0.0016,-0.0046,0
2011-12-30,-0.0316033755274262,0.0074,-0.0059,0.0163,0
2012-01-31,0.027624068668031798,0.050499999999999996,0.0204,-0.0097,0
2012-02-29,7.631969472132738e-5,0.044199999999999996,-0.018500000000000003,0.0043,0
2012-03-30,0.033628978920413166,0.0311,-0.0064,0.011399999999999999,0
2012-04-30,-0.009023789991796538,-0.0085,-0.0042,-0.0078000000000000005,0
2012-05-31,-0.01614238410596025,-0.061900000000000004,7.000000000000001e-4,-0.010700000000000001,1e-4
2012-06-29,0.051283129995792986,0.038900000000000004,0.0067,0.0062,0
2012-07-31,0.020008803873704517,0.0079,-0.0274,-2e-4,0
